2024-10-17 12:22:28,680 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.6307938119460796, accuracy: 0.6695458344942881
2024-10-17 12:22:28,845 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.4960480733164426, accuracy: 0.797157982724993
2024-10-17 12:22:28,901 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.5546375667226726, accuracy: 0.7695736974087489
2024-10-17 12:22:29,525 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.5918250453883204, accuracy: 0.7564781276121483
2024-10-17 12:22:29,670 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.5113114837942452, accuracy: 0.7924212872666481
2024-10-17 12:22:29,781 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.5946969007109774, accuracy: 0.726664809139036
2024-10-17 12:22:30,358 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.47564931337496846, accuracy: 0.8133184731122876
2024-10-17 12:22:41,044 - model_logger - INFO - [ITERATION 3 | EPOCH 2 | NODE 0] Training on 0 results: loss: 0.541901181997924, accuracy: 0.7823906380607412
2024-10-17 12:22:41,061 - model_logger - INFO - [ITERATION 3 | EPOCH 2 | NODE 2] Training on 2 results: loss: 0.7334730018829477, accuracy: 0.7049317358595709
2024-10-17 12:22:41,141 - model_logger - INFO - [ITERATION 3 | EPOCH 2 | NODE 4] Training on 4 results: loss: 0.459075515640193, accuracy: 0.8021733073279464
2024-10-17 12:22:41,253 - model_logger - INFO - [ITERATION 3 | EPOCH 2 | NODE 3] Training on 3 results: loss: 0.5993495506459269, accuracy: 0.7584285316244079
2024-10-17 12:22:42,081 - model_logger - INFO - [ITERATION 3 | EPOCH 2 | NODE 1] Training on 1 results: loss: 0.4993806902704568, accuracy: 0.7887991083867373
2024-10-17 12:22:42,151 - model_logger - INFO - [ITERATION 3 | EPOCH 2 | NODE 5] Training on 5 results: loss: 0.42876197397708893, accuracy: 0.8222346057397604
2024-10-17 12:22:42,200 - model_logger - INFO - [ITERATION 3 | EPOCH 2 | NODE 7] Training on 7 results: loss: 0.4965616927064698, accuracy: 0.7907495123989969
2024-10-17 12:22:42,735 - model_logger - INFO - [ITERATION 3 | EPOCH 2 | NODE 6] Training on 6 results: loss: 0.3778949477549257, accuracy: 0.8517692950682642
2024-10-17 12:22:53,360 - model_logger - INFO - [ITERATION 3 | EPOCH 3 | NODE 2] Training on 2 results: loss: 0.5590773173447313, accuracy: 0.7208135971022569
2024-10-17 12:22:53,452 - model_logger - INFO - [ITERATION 3 | EPOCH 3 | NODE 0] Training on 0 results: loss: 0.45867675992435425, accuracy: 0.8161047645583728
2024-10-17 12:22:53,503 - model_logger - INFO - [ITERATION 3 | EPOCH 3 | NODE 4] Training on 4 results: loss: 0.4029428907509508, accuracy: 0.8225132348843689
2024-10-17 12:22:53,787 - model_logger - INFO - [ITERATION 3 | EPOCH 3 | NODE 3] Training on 3 results: loss: 0.44475664892073336, accuracy: 0.8052382279186403
2024-10-17 12:22:54,152 - model_logger - INFO - [ITERATION 3 | EPOCH 3 | NODE 1] Training on 1 results: loss: 0.48790307728380994, accuracy: 0.7832265254945667
2024-10-17 12:22:54,153 - model_logger - INFO - [ITERATION 3 | EPOCH 3 | NODE 5] Training on 5 results: loss: 0.4809596199413826, accuracy: 0.8094176650877681
2024-10-17 12:22:54,373 - model_logger - INFO - [ITERATION 3 | EPOCH 3 | NODE 7] Training on 7 results: loss: 0.4147804930549243, accuracy: 0.8250208971858456
2024-10-17 12:22:54,734 - model_logger - INFO - [ITERATION 3 | EPOCH 3 | NODE 6] Training on 6 results: loss: 0.32983591232513043, accuracy: 0.8712733351908609
2024-10-17 12:24:07,225 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.7494429596539202, accuracy: 0.7587071607690165
2024-10-17 12:24:07,431 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.15117733848506, accuracy: 0.6812482585678462
2024-10-17 12:24:07,887 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.8485555178004092, accuracy: 0.7327946503204236
2024-10-17 12:24:08,848 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.7770665555164732, accuracy: 0.7372527166341599
2024-10-17 12:24:08,861 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.8648460558776198, accuracy: 0.6494845360824743
2024-10-17 12:24:08,966 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.7618969535005504, accuracy: 0.7336305377542491
2024-10-17 12:24:08,970 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.0140648258143459, accuracy: 0.6915575369183616
2024-10-17 12:24:09,136 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.8576482256938671, accuracy: 0.7400390080802451
2024-10-17 12:24:19,692 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.5495559336810276, accuracy: 0.7681805516857063
2024-10-17 12:24:19,855 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.6162806229087813, accuracy: 0.7545277235998885
2024-10-17 12:24:20,306 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.3653410657084194, accuracy: 0.8620785734187796
2024-10-17 12:24:21,077 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.567794318343031, accuracy: 0.7325160211758149
2024-10-17 12:24:21,388 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.4775058673373584, accuracy: 0.8071886319309
2024-10-17 12:24:21,460 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.5499379496122229, accuracy: 0.7587071607690165
2024-10-17 12:24:21,460 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.5538993229254566, accuracy: 0.7573140150459738
2024-10-17 12:24:21,685 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.5460483652764353, accuracy: 0.7698523265533574
2024-10-17 12:24:32,316 - model_logger - INFO - [ITERATION 4 | EPOCH 2 | NODE 3] Training on 3 results: loss: 0.4365567108937379, accuracy: 0.8174979102814154
2024-10-17 12:24:32,955 - model_logger - INFO - [ITERATION 4 | EPOCH 2 | NODE 0] Training on 0 results: loss: 0.5022141440161343, accuracy: 0.8063527444970744
2024-10-17 12:24:33,372 - model_logger - INFO - [ITERATION 4 | EPOCH 2 | NODE 6] Training on 6 results: loss: 0.2797872806610218, accuracy: 0.8907773753134578
2024-10-17 12:24:34,006 - model_logger - INFO - [ITERATION 4 | EPOCH 2 | NODE 2] Training on 2 results: loss: 0.5031410901453989, accuracy: 0.7656728893842296
2024-10-17 12:24:34,058 - model_logger - INFO - [ITERATION 4 | EPOCH 2 | NODE 5] Training on 5 results: loss: 0.4030292339879891, accuracy: 0.839509612705489
2024-10-17 12:24:34,500 - model_logger - INFO - [ITERATION 4 | EPOCH 2 | NODE 4] Training on 4 results: loss: 0.4288111087577096, accuracy: 0.8250208971858456
2024-10-17 12:24:34,640 - model_logger - INFO - [ITERATION 4 | EPOCH 2 | NODE 7] Training on 7 results: loss: 0.4390109985231839, accuracy: 0.813039843967679
2024-10-17 12:24:34,700 - model_logger - INFO - [ITERATION 4 | EPOCH 2 | NODE 1] Training on 1 results: loss: 0.4473783800314213, accuracy: 0.8018946781833379
2024-10-17 12:24:44,574 - model_logger - INFO - [ITERATION 4 | EPOCH 3 | NODE 3] Training on 3 results: loss: 0.3841466651265991, accuracy: 0.8322652549456673
2024-10-17 12:24:45,319 - model_logger - INFO - [ITERATION 4 | EPOCH 3 | NODE 0] Training on 0 results: loss: 0.5127015745845335, accuracy: 0.786012816940652
2024-10-17 12:24:45,527 - model_logger - INFO - [ITERATION 4 | EPOCH 3 | NODE 6] Training on 6 results: loss: 0.2509485591074516, accuracy: 0.9061019782669267
2024-10-17 12:24:45,805 - model_logger - INFO - [ITERATION 4 | EPOCH 3 | NODE 2] Training on 2 results: loss: 0.5724375340445288, accuracy: 0.7935358038450822
2024-10-17 12:24:45,990 - model_logger - INFO - [ITERATION 4 | EPOCH 3 | NODE 5] Training on 5 results: loss: 0.32638191996977245, accuracy: 0.866536639732516
2024-10-17 12:24:46,304 - model_logger - INFO - [ITERATION 4 | EPOCH 3 | NODE 7] Training on 7 results: loss: 0.35498449013664807, accuracy: 0.856505990526609
2024-10-17 12:24:46,339 - model_logger - INFO - [ITERATION 4 | EPOCH 3 | NODE 4] Training on 4 results: loss: 0.3637718479951908, accuracy: 0.8436890498746169
2024-10-17 12:24:46,354 - model_logger - INFO - [ITERATION 4 | EPOCH 3 | NODE 1] Training on 1 results: loss: 0.4215540682961201, accuracy: 0.8144329896907216
2024-10-17 12:25:56,039 - model_logger - INFO - [ITERATION 5 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.7927493730495716, accuracy: 0.6795764837001951
2024-10-17 12:25:56,333 - model_logger - INFO - [ITERATION 5 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.7526679885059852, accuracy: 0.7776539426023962
2024-10-17 12:25:56,541 - model_logger - INFO - [ITERATION 5 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.0110896908003708, accuracy: 0.7035385901365283
